CHANNEL,LOKASI,TANGGAL,BULAN,TAHUN,KODE_BARANG,KLASIFIKASI_BARANG,WARNA_BARANG,UKURAN_BARANG,BERAT_SATUAN,JUMLAH,BERAT_TOTAL
002,LO000017,01/13/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,2,20,40
002,LO000017,01/13/2023 00:00:00,01,2023,MP000197,KD000016,PL000039,SZ000009,2,1,4
002,LO000017,01/13/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000011,4,1,4
002,LO000017,01/13/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000011,6,1,6
002,LO000017,01/13/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000011,5,1,5
002,LO000017,01/13/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000011,4,1,4
002,LO000017,01/13/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000011,5,1,5
002,LO000017,01/13/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000011,6,1,6
002,LO000025,02/24/2023 00:00:00,02,2023,MP000197,KD000037,PL000036,SZ000012,3,5,15
002,LO000025,02/24/2023 00:00:00,02,2023,MP002277,KD000037,PL000039,SZ000012,4,1,4
002,LO000025,02/24/2023 00:00:00,02,2023,MP000197,KD000028,PL000036,SZ000012,8,2,16
002,LO000025,02/24/2023 00:00:00,02,2023,MP002277,KD000037,PL000039,SZ000012,3,1,3
002,LO000025,02/24/2023 00:00:00,02,2023,MP002277,KD000037,PL000039,SZ000011,10,1,10
002,LO000025,02/24/2023 00:00:00,02,2023,MP002277,KD000037,PL000039,SZ000012,5,1,5
002,LO000025,02/24/2023 00:00:00,02,2023,MP002277,KD000009,PL000039,SZ000011,10,1,10
002,LO000025,02/24/2023 00:00:00,02,2023,MP002277,KD000009,PL000039,SZ000011,7,1,7
002,LO000025,02/24/2023 00:00:00,02,2023,MP002277,KD000009,PL000039,SZ000011,8,1,8
002,LO000025,02/28/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000007,2,5,10
002,LO000025,02/28/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000007,3,6,19
